model,shot_setting,data_type,precision,recall,f1,accuracy,mrr,avg_extraction_time
ModernBERT,N/A,course,0.002,0.0013333333333333333,0.0016,0.9982093406987589,0.0008333333333333334,0.42863587856292723
ModernBERT,N/A,job,0.0,0.0,0.0,0.9982064710524428,0.0,0.4223862075805664
ModernBERT,N/A,cv,0.009,0.006,0.0072,0.9982193844608652,0.0011645502645502646,0.3724885702133179
